😀 e1-0-grinning-face
⛹🏼‍♀️ e4-0-woman-bouncing-ball-medium-light-skin-tone
⛹🏽‍♀️ e4-0-woman-bouncing-ball-medium-skin-tone
⛹🏾‍♀️ e4-0-woman-bouncing-ball-medium-dark-skin-tone
⛹🏿‍♀️ e4-0-woman-bouncing-ball-dark-skin-tone
🏋️ e0-7-person-lifting-weights
🏋🏻 e2-0-person-lifting-weights-light-skin-tone
🏋🏼 e2-0-person-lifting-weights-medium-light-skin-tone
🏋🏽 e2-0-person-lifting-weights-medium-skin-tone
🏋🏾 e2-0-person-lifting-weights-medium-dark-skin-tone
🏋🏿 e2-0-person-lifting-weights-dark-skin-tone
🏋️‍♂️ e4-0-man-lifting-weights
🏋🏻‍♂️ e4-0-man-lifting-weights-light-skin-tone
🏋🏼‍♂️ e4-0-man-lifting-weights-medium-light-skin-tone
🏋🏽‍♂️ e4-0-man-lifting-weights-medium-skin-tone
🏋🏾‍♂️ e4-0-man-lifting-weights-medium-dark-skin-tone
🏋🏿‍♂️ e4-0-man-lifting-weights-dark-skin-tone
🏋️‍♀️ e4-0-woman-lifting-weights
🏋🏻‍♀️ e4-0-woman-lifting-weights-light-skin-tone
🏋🏼‍♀️ e4-0-woman-lifting-weights-medium-light-skin-tone
🏋🏽‍♀️ e4-0-woman-lifting-weights-medium-skin-tone
🏋🏾‍♀️ e4-0-woman-lifting-weights-medium-dark-skin-tone
🏋🏿‍♀️ e4-0-woman-lifting-weights-dark-skin-tone
🚴 e1-0-person-biking
🚵 e1-0-person-mountain-biking
🤸 e3-0-person-cartwheeling
🤼 e3-0-people-wrestling
🤽 e3-0-person-playing-water-polo
🤾 e3-0-person-playing-handball
🤹 e3-0-person-juggling
🧘 e5-0-person-in-lotus-position
🛀 e0-6-person-taking-bath
🛌 e1-0-person-in-bed
🧑‍🤝‍🧑 e12-0-people-holding-hands
👭 e1-0-women-holding-hands
👩🏻‍🤝‍👩🏼 e12-1-women-holding-hands-light-skin-tone-medium-light-skin-tone
👭🏼 e12-0-women-holding-hands-medium-light-skin-tone
👩🏼‍🤝‍👩🏽 e12-1-women-holding-hands-medium-light-skin-tone-medium-skin-tone
👭🏽 e12-0-women-holding-hands-medium-skin-tone
👩🏽‍🤝‍👩🏾 e12-1-women-holding-hands-medium-skin-tone-medium-dark-skin-tone
👭🏾 e12-0-women-holding-hands-medium-dark-skin-tone
👩🏾‍🤝‍👩🏿 e12-1-women-holding-hands-medium-dark-skin-tone-dark-skin-tone
👭🏿 e12-0-women-holding-hands-dark-skin-tone
👫 e0-6-woman-and-man-holding-hands
👩🏻‍🤝‍👨🏼 e12-0-woman-and-man-holding-hands-light-skin-tone-medium-light-skin-tone
👫🏼 e12-0-woman-and-man-holding-hands-medium-light-skin-tone
👩🏼‍🤝‍👨🏽 e12-0-woman-and-man-holding-hands-medium-light-skin-tone-medium-skin-tone
👫🏽 e12-0-woman-and-man-holding-hands-medium-skin-tone
👩🏽‍🤝‍👨🏾 e12-0-woman-and-man-holding-hands-medium-skin-tone-medium-dark-skin-tone
👫🏾 e12-0-woman-and-man-holding-hands-medium-dark-skin-tone
👩🏾‍🤝‍👨🏿 e12-0-woman-and-man-holding-hands-medium-dark-skin-tone-dark-skin-tone
👫🏿 e12-0-woman-and-man-holding-hands-dark-skin-tone
👬 e1-0-men-holding-hands
👨🏻‍🤝‍👨🏼 e12-1-men-holding-hands-light-skin-tone-medium-light-skin-tone
👬🏼 e12-0-men-holding-hands-medium-light-skin-tone
👨🏼‍🤝‍👨🏽 e12-1-men-holding-hands-medium-light-skin-tone-medium-skin-tone
👬🏽 e12-0-men-holding-hands-medium-skin-tone
👨🏽‍🤝‍👨🏾 e12-1-men-holding-hands-medium-skin-tone-medium-dark-skin-tone
👬🏾 e12-0-men-holding-hands-medium-dark-skin-tone
👨🏾‍🤝‍👨🏿 e12-1-men-holding-hands-medium-dark-skin-tone-dark-skin-tone
👬🏿 e12-0-men-holding-hands-dark-skin-tone
💏 e0-6-kiss
🧑🏻‍❤️‍💋‍🧑🏼 e13-1-kiss-person-person-light-skin-tone-medium-light-skin-tone
👩‍❤️‍💋‍👨 e2-0-kiss-woman-man
👨‍❤️‍💋‍👨 e2-0-kiss-man-man
👩‍❤️‍💋‍👩 e2-0-kiss-woman-woman
💑 e0-6-couple-with-heart
🧑🏻‍❤️‍🧑🏼 e13-1-couple-with-heart-person-person-light-skin-tone-medium-light-skin-tone
👩‍❤️‍👨 e2-0-couple-with-heart-woman-man
👨‍❤️‍👨 e2-0-couple-with-heart-man-man
👩‍❤️‍👩 e2-0-couple-with-heart-woman-woman
👪 e0-6-family
👨‍👩‍👦 e2-0-family-man-woman-boy
👩‍👩‍👦 e2-0-family-woman-woman-boy
👨‍👦 e4-0-family-man-boy
👩‍👦 e4-0-family-woman-boy
🗣️ e0-7-speaking-head
👤 e0-6-bust-in-silhouette
👥 e1-0-busts-in-silhouette
🫂 e13-0-people-hugging
👣 e0-6-footprints
🐵 e0-6-monkey-face
🐒 e0-6-monkey
🦍 e3-0-gorilla
🦧 e12-0-orangutan
🐶 e0-6-dog-face
🐕 e0-7-dog
🦮 e12-0-guide-dog
🐕‍🦺 e12-0-service-dog
🐩 e0-6-poodle
🐺 e0-6-wolf
🦊 e3-0-fox
🦝 e11-0-raccoon
🐱 e0-6-cat-face
🐈 e0-7-cat
🦁 e1-0-lion
🐯 e0-6-tiger-face
🐅 e1-0-tiger
🐆 e1-0-leopard
🐴 e0-6-horse-face
🫎 e15-0-moose
🫏 e15-0-donkey
🐎 e0-6-horse
🦄 e1-0-unicorn
🦓 e5-0-zebra
🦌 e3-0-deer
🦬 e13-0-bison
🐮 e0-6-cow-face
🐂 e1-0-ox
🐃 e1-0-water-buffalo
🐄 e1-0-cow
🐷 e0-6-pig-face
🐖 e1-0-pig
🐗 e0-6-boar
🐽 e0-6-pig-nose
🐏 e1-0-ram
🐑 e0-6-ewe
🐐 e1-0-goat
🐪 e1-0-camel
🐫 e0-6-two-hump-camel
🦙 e11-0-llama
🦒 e5-0-giraffe
🐘 e0-6-elephant
🦣 e13-0-mammoth
🦏 e3-0-rhinoceros
🦛 e11-0-hippopotamus
🐭 e0-6-mouse-face
🐁 e1-0-mouse
🐀 e1-0-rat
🐹 e0-6-hamster
🐰 e0-6-rabbit-face
🐇 e1-0-rabbit
🐿️ e0-7-chipmunk
🦫 e13-0-beaver
🦔 e5-0-hedgehog
🦇 e3-0-bat
🐻 e0-6-bear
🐨 e0-6-koala
🐼 e0-6-panda
🦥 e12-0-sloth
🦦 e12-0-otter
🦨 e12-0-skunk
🦘 e11-0-kangaroo
🦡 e11-0-badger
🐾 e0-6-paw-prints
🦃 e1-0-turkey
🐔 e0-6-chicken
🐓 e1-0-rooster
🐣 e0-6-hatching-chick
🐤 e0-6-baby-chick
🐥 e0-6-front-facing-baby-chick
🐦 e0-6-bird
🐧 e0-6-penguin
🕊️ e0-7-dove
🦅 e3-0-eagle
🦆 e3-0-duck
🦢 e11-0-swan
🦉 e3-0-owl
🦤 e13-0-dodo
🪶 e13-0-feather
🦩 e12-0-flamingo
🦚 e11-0-peacock
🦜 e11-0-parrot
🪽 e15-0-wing
🐦‍⬛ e15-0-black-bird
🪿 e15-0-goose
🐸 e0-6-frog
🐊 e1-0-crocodile
🐢 e0-6-turtle
🦎 e3-0-lizard
🐍 e0-6-snake
🐲 e0-6-dragon-face
🐉 e1-0-dragon
🦕 e5-0-sauropod
🦖 e5-0-t-rex
🐳 e0-6-spouting-whale
🐋 e1-0-whale
🐬 e0-6-dolphin
🦭 e13-0-seal
🐟 e0-6-fish
🐠 e0-6-tropical-fish
🐡 e0-6-blowfish
🦈 e3-0-shark
🐙 e0-6-octopus
🐚 e0-6-spiral-shell
🪸 e14-0-coral
🪼 e15-0-jellyfish
🐌 e0-6-snail
🦋 e3-0-butterfly
🐛 e0-6-bug
🐜 e0-6-ant
🐝 e0-6-honeybee
🪲 e13-0-beetle
